x,y,z,string,dom
-256.1400146484375,-521.0800170898438,496.0299987792969,1,1
-256.1400146484375,-521.0800170898438,479.010009765625,1,2
-256.1400146484375,-521.0800170898438,461.989990234375,1,3
-256.1400146484375,-521.0800170898438,444.9700012207031,1,4
-256.1400146484375,-521.0800170898438,427.95001220703125,1,5
-256.1400146484375,-521.0800170898438,410.92999267578125,1,6
-256.1400146484375,-521.0800170898438,393.9100036621094,1,7
-256.1400146484375,-521.0800170898438,376.8800048828125,1,8
-256.1400146484375,-521.0800170898438,359.8599853515625,1,9
-256.1400146484375,-521.0800170898438,342.8399963378906,1,10
-256.1400146484375,-521.0800170898438,325.82000732421875,1,11
-256.1400146484375,-521.0800170898438,308.79998779296875,1,12
-256.1400146484375,-521.0800170898438,291.7799987792969,1,13
-256.1400146484375,-521.0800170898438,274.760009765625,1,14
-256.1400146484375,-521.0800170898438,257.739990234375,1,15
-256.1400146484375,-521.0800170898438,240.72000122070312,1,16
-256.1400146484375,-521.0800170898438,223.6999969482422,1,17
-256.1400146484375,-521.0800170898438,206.67999267578125,1,18
-256.1400146484375,-521.0800170898438,189.66000366210938,1,19
-256.1400146484375,-521.0800170898438,172.63999938964844,1,20
-256.1400146484375,-521.0800170898438,155.6199951171875,1,21
-256.1400146484375,-521.0800170898438,138.58999633789062,1,22
-256.1400146484375,-521.0800170898438,121.56999969482422,1,23
-256.1400146484375,-521.0800170898438,104.55000305175781,1,24
-256.1400146484375,-521.0800170898438,87.52999877929688,1,25
-256.1400146484375,-521.0800170898438,70.51000213623047,1,26
-256.1400146484375,-521.0800170898438,53.4900016784668,1,27
-256.1400146484375,-521.0800170898438,36.470001220703125,1,28
-256.1400146484375,-521.0800170898438,19.450000762939453,1,29
-256.1400146484375,-521.0800170898438,2.430000066757202,1,30
-256.1400146484375,-521.0800170898438,-14.59000015258789,1,31
-256.1400146484375,-521.0800170898438,-31.610000610351562,1,32
-256.1400146484375,-521.0800170898438,-48.630001068115234,1,33
-256.1400146484375,-521.0800170898438,-65.6500015258789,1,34
-256.1400146484375,-521.0800170898438,-82.68000030517578,1,35
-256.1400146484375,-521.0800170898438,-99.69999694824219,1,36
-256.1400146484375,-521.0800170898438,-116.72000122070312,1,37
-256.1400146484375,-521.0800170898438,-133.74000549316406,1,38
-256.1400146484375,-521.0800170898438,-150.75999450683594,1,39
-256.1400146484375,-521.0800170898438,-167.77999877929688,1,40
-256.1400146484375,-521.0800170898438,-184.8000030517578,1,41
-256.1400146484375,-521.0800170898438,-201.82000732421875,1,42
-256.1400146484375,-521.0800170898438,-218.83999633789062,1,43
-256.1400146484375,-521.0800170898438,-235.86000061035156,1,44
-256.1400146484375,-521.0800170898438,-252.8800048828125,1,45
-256.1400146484375,-521.0800170898438,-269.8999938964844,1,46
-256.1400146484375,-521.0800170898438,-286.9200134277344,1,47
